Order,Species,rawdistance,rawstrain,rawstress,rawinitial,rawfinal,standistance,stanstrain,stanstress,staninitial,stanfinal
Red,Weeksia,20,0.573,2.125,1.9,4.68,0.568627451,0.031967582,-0.113382706,-0.326241135,-0.005313496
Red,Weeksia,15,0.568,2.469,2.27,5.42,0.176470588,0.022962629,0.030144988,-0.195035461,0.151965994
Red,Weeksia,10.5,0.541,2.032,2.38,4.57,-0.176470588,-0.025664115,-0.152185251,-0.156028369,-0.02869288
Red,Schizymenia,5.5,0.348,2.24,3.35,5.53,-0.72361809,0.197522368,0.02003643,-0.291754757,-0.375
Red,Schizymenia,14,0.212,1.428,4.78,5.67,-0.296482412,-0.27047488,-0.349726776,0.010570825,-0.359177215
Red,Schizymenia,20,0.367,2.206,5.1,13.17,0.005025126,0.262904336,0.004553734,0.078224101,0.488471971
Red,Schizymenia,26.5,0.25,2.674,5.22,11.5,0.331658291,-0.139710943,0.217668488,0.10359408,0.299728752
Red,Schizymenia,33.5,0.276,2.432,5.2,8.37,0.683417085,-0.050240881,0.107468124,0.099365751,-0.054023508
Brown,Agarum,8,0.265150141,1.408681878,13.16,2.65,-0.853211009,0.378278305,-0.200107,-0.506720214,-0.302631579
Brown,Agarum,25,0.268180816,1.772931986,19.64,2.54,-0.541284404,0.394032069,0.006725442,-0.263828648,-0.331578947
Brown,Agarum,40.5,0.210605663,2.04110232,25.38,3.04,-0.256880734,0.094750372,0.159000825,-0.048674699,-0.2
Brown,Agarum,54,0.12847367,1.739341226,28.57,5.67,-0.009174312,-0.332180358,-0.012348428,0.070896921,0.492105263
Brown,Agarum,68,0.204541715,1.916141685,27.74,3.66,0.247706422,0.063229333,0.088044323,0.03978581,-0.036842105
Brown,Agarum,81,0.237876559,2.66287844,34.59,3.76,0.486238532,0.236507358,0.512064475,0.296546185,-0.010526316
Brown,Agarum,105,0.031816002,0.786537714,37.67,5.28,0.926605505,-0.834617078,-0.553379637,0.411994645,0.389473684
Brown,Macrocystis,6,0.262,1.08,8.52,1.79,-0.764705882,0.476888388,0.196013289,0.652443755,-0.506615215
Brown,Macrocystis,17,0.121,0.689,5.21,4.42,-0.333333333,-0.317925592,-0.236987818,0.010473235,0.218302095
Brown,Macrocystis,27,0.142,0.862,3.95,3.22,0.058823529,-0.199549042,-0.045404208,-0.23390225,-0.112458655
Brown,Macrocystis,37,0.115,0.737,4.65,5.19,0.450980392,-0.351747463,-0.183831672,-0.098138092,0.430540243
Brown,Macrocystis,40.5,0.247,1.147,3.45,3.52,0.588235294,0.392333709,0.27021041,-0.330876649,-0.029768467
Brown,Costaria,7,0.508,1.606,8.26,1.46,-0.806896552,0.207606973,0.272751288,0.244913338,-0.05092091
Brown,Costaria,18.5,0.417,0.778,4.81,0.95,-0.489655172,-0.008716323,-0.383436798,-0.275056518,-0.382448537
Brown,Costaria,30.5,0.498,1.003,6.79,1.02,-0.15862069,0.183835182,-0.205124818,0.023360965,-0.336944745
Brown,Costaria,42,0.371,1.276,7.66,1.86,0.15862069,-0.118066561,0.011227051,0.154483798,0.209100758
Brown,Costaria,54,0.377,1.18,5.35,1.57,0.489655172,-0.103803487,-0.064852728,-0.193669932,0.020585049
Brown,Costaria,65.5,0.353,1.728,6.94,2.37,0.806896552,-0.160855784,0.369436006,0.04596835,0.540628386
Brown,Setchellii,8.5,0.632,2.315,8.76,2.38,-0.724324324,0.455662188,-0.222806625,-0.502319856,-0.31047803
Brown,Setchellii,19.5,0.468,2.813,15.8,2.59,-0.367567568,0.077927063,-0.055617726,-0.102357731,-0.249637856
Brown,Setchellii,31.5,0.398,2.816,16.31,3.81,0.021621622,-0.083301344,-0.054610564,-0.073383202,0.103814582
Brown,Setchellii,44,0.389,3.901,21.51,4.83,0.427027027,-0.10403071,0.309646374,0.222043367,0.399323998
Brown,Setchellii,55.5,0.304,3.659,29.74,4.39,0.8,-0.299808061,0.22840197,0.689612726,0.271849348
Brown,Setchellii,26,0.414,2.368,13.49,2.71,-0.156756757,-0.046449136,-0.205013429,-0.233595303,-0.214872042
Brown,Sinclairii,6.5,0.435,2.186,14.96,1.71,-0.802030457,0.359375,-0.264096953,-0.136092397,-0.590419162
Brown,Sinclairii,17.5,0.374,2.956,17.67,2.66,-0.467005076,0.16875,-0.004881333,0.020404235,-0.362874251
Brown,Sinclairii,28.5,0.329,2.924,16.16,3.19,-0.131979695,0.028125,-0.01565393,-0.066794995,-0.235928144
Brown,Sinclairii,39,0.359,2.968,19.48,1.9,0.187817259,0.121875,-0.000841609,0.124927815,-0.54491018
Brown,Sinclairii,45.5,0.225,3.585,19.69,7.09,0.385786802,-0.296875,0.206867531,0.13705486,0.698203593
Brown,Sinclairii,60,0.198,3.204,15.94,8.5,0.827411168,-0.38125,0.078606295,-0.079499519,1.035928144
Brown,Sinclairii,8.5,0.259,2.125,24.83,4.1,-0.720394737,-0.027047333,-0.215172108,-0.054289784,-0.125426621
Brown,Sinclairii,20,0.311,2.298,20.4,3.37,-0.342105263,0.168294515,-0.151277884,-0.223016979,-0.281143345
Brown,Sinclairii,31.5,0.335,2.907,27.52,2.66,0.036184211,0.258452292,0.073644556,0.04816533,-0.432593857
Brown,Sinclairii,41,0.253,3.164,30.887,4.89,0.348684211,-0.049586777,0.168562565,0.176405616,0.043088737
Brown,Sinclairii,51,0.173,3.044,27.64,8.42,0.677631579,-0.350112697,0.124242872,0.052735818,0.796075085
Brown,Pterygophora,7,0.544,1.683,7.54,1.6,-0.749103943,0.451440768,-0.322790922,-0.445669754,-0.573105656
Brown,Pterygophora,17.5,0.386,2.316,11.37,2.09,-0.372759857,0.029882604,-0.068083052,-0.164093516,-0.442369264
Brown,Pterygophora,28.5,0.347,2.811,16.71,4.26,0.021505376,-0.074172892,0.131096089,0.228495809,0.13660619
Brown,Pterygophora,38.5,0.347,2.929,16.81,5.04,0.379928315,-0.074172892,0.178577177,0.235847669,0.344717182
Brown,Pterygophora,48,0.25,2.687,15.58,5.75,0.720430108,-0.332977588,0.081200708,0.145419791,0.534151547
Brown,Sessilis,6.5,0.665,1.897,3.53,1.56,-0.697674419,0.426426426,0.103805423,-0.204596665,-0.477911647
Brown,Sessilis,12.5,0.392,1.448,4.11,2.7,-0.418604651,-0.159159159,-0.157453741,-0.073907165,-0.096385542
Brown,Sessilis,23,0.259,0.895,3.95,2.33,0.069767442,-0.444444444,-0.479227278,-0.109959441,-0.22021419
Brown,Sessilis,29.5,0.589,2.553,5.26,4.01,0.372093023,0.263406263,0.485511463,0.185218567,0.342034806
Brown,Sessilis,36,0.426,1.8,5.34,4.34,0.674418605,-0.086229086,0.047364134,0.203244705,0.452476573
Brown,Sessilis,6.5,0.704,2.057,3.73,2.69,-0.693396226,0.21968122,-0.042632412,-0.137372803,-0.396860987
Brown,Sessilis,15,0.608,1.981,4.7,4.08,-0.29245283,0.053361053,-0.078004282,0.086956522,-0.085201794
Brown,Sessilis,21,0.559,1.666,2.61,3.65,-0.009433962,-0.031531532,-0.224611375,-0.396392229,-0.18161435
Brown,Sessilis,29.5,0.532,2.206,5.21,4.82,0.391509434,-0.078309078,0.02671507,0.204902868,0.080717489
Brown,Sessilis,34,0.483,2.833,5.37,7.06,0.603773585,-0.163201663,0.318532998,0.241905643,0.582959641
Brown,Alaria,9,0.323,2.368,5.51,3.78,-0.90412783,0.117163856,-0.142417383,-0.764240252,-0.066090179
Brown,Alaria,34.5,0.359,2.469,16.62,2.99,-0.632490013,0.241677475,-0.105839746,-0.288869872,-0.26127239
Brown,Alaria,60,0.314,2.173,17.73,2.74,-0.360852197,0.086035452,-0.213037574,-0.241375622,-0.323038913
Brown,Alaria,77.5,0.365,2.48,18.27,2.44,-0.174434088,0.262429745,-0.101856043,-0.218270311,-0.39715874
Brown,Alaria,105,0.211,2.852,31.68,5.37,0.118508655,-0.270211846,0.03286555,0.355511579,0.326744904
Brown,Alaria,130,0.271,3.421,32.35,4.5,0.38482024,-0.062689148,0.238931643,0.38417928,0.111797406
Brown,Alaria,155,0.241,3.28,36.23,5.8,0.651131824,-0.166450497,0.187867813,0.550195218,0.432983323
Brown,Alaria,180,0.229,3.047,28.58,4.76,0.917443409,-0.207955037,0.10348574,0.222869979,0.176034589
Brown,Alaria,39.5,0.347,2.256,21.2,2.32,-0.74433657,0.133986928,-0.275297141,-0.304490465,-0.485730119
Brown,Alaria,96.5,0.405,3.223,28.51,3.64,-0.375404531,0.323529412,0.035335689,-0.064670904,-0.19312829
Brown,Alaria,137.5,0.329,3.027,26.88,4.46,-0.110032362,0.075163399,-0.027626084,-0.118146401,-0.011360488
Brown,Alaria,182.5,0.352,3.057,26.81,3.28,0.181229773,0.150326797,-0.017989078,-0.120442895,-0.272928789
